#t0_Mstar=7.943282e+10 (N07Mbar=9.103781e+10) t0_sfr=2.790239e+00	1.00000000000000001988462483866e+30 t0_sfr=6.606934e+00
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.210292e+10 4.062421 0.000000e+00	0.000000e+00 2.528464e+09
1.208982e+10 4.034080 0.000000e+00	0.000000e+00 2.539331e+09
1.207672e+10 4.006087 0.000000e+00	0.000000e+00 2.550274e+09
1.206362e+10 3.978520 0.000000e+00	0.000000e+00 2.561295e+09
1.205052e+10 3.951272 0.000000e+00	0.000000e+00 2.572393e+09
1.203742e+10 3.924447 0.000000e+00	0.000000e+00 2.583567e+09
1.202433e+10 3.897912 0.000000e+00	0.000000e+00 2.594820e+09
1.201123e+10 3.871800 0.000000e+00	0.000000e+00 2.606149e+09
1.199813e+10 3.845965 0.000000e+00	0.000000e+00 2.617556e+09
1.198503e+10 3.820516 0.000000e+00	0.000000e+00 2.629041e+09
1.197193e+10 3.795355 0.000000e+00	0.000000e+00 2.640603e+09
1.195883e+10 3.770540 0.000000e+00	0.000000e+00 2.652243e+09
1.194574e+10 3.746027 0.000000e+00	0.000000e+00 2.663961e+09
1.193264e+10 3.721816 0.000000e+00	0.000000e+00 2.675758e+09
1.191954e+10 3.697926 0.000000e+00	0.000000e+00 2.687633e+09
1.190644e+10 3.674294 0.000000e+00	0.000000e+00 2.699587e+09
1.189334e+10 3.651005 0.000000e+00	0.000000e+00 2.711619e+09
1.188024e+10 3.627947 0.000000e+00	0.000000e+00 2.723731e+09
1.186714e+10 3.605214 0.000000e+00	0.000000e+00 2.735922e+09
1.185405e+10 3.582725 0.000000e+00	0.000000e+00 2.748193e+09
1.184095e+10 3.560509 0.000000e+00	0.000000e+00 2.760544e+09
1.182785e+10 3.538569 0.000000e+00	0.000000e+00 2.772974e+09
1.181475e+10 3.516848 0.000000e+00	0.000000e+00 2.785486e+09
1.180165e+10 3.495436 0.000000e+00	0.000000e+00 2.798078e+09
1.178855e+10 3.474227 0.000000e+00	0.000000e+00 2.810751e+09
1.177546e+10 3.453288 0.000000e+00	0.000000e+00 2.823506e+09
1.176236e+10 3.432582 0.000000e+00	0.000000e+00 2.836342e+09
1.174926e+10 3.412087 0.000000e+00	0.000000e+00 2.849260e+09
1.173616e+10 3.391866 0.000000e+00	0.000000e+00 2.862261e+09
1.172306e+10 3.371830 0.000000e+00	0.000000e+00 2.875344e+09
1.170996e+10 3.352044 0.000000e+00	0.000000e+00 2.888511e+09
1.169687e+10 3.332470 0.000000e+00	0.000000e+00 2.901761e+09
1.168377e+10 3.313083 0.000000e+00	0.000000e+00 2.915095e+09
1.167067e+10 3.293956 0.000000e+00	0.000000e+00 2.928513e+09
1.165757e+10 3.274998 0.000000e+00	0.000000e+00 2.942015e+09
1.164447e+10 3.256256 0.000000e+00	0.000000e+00 2.955603e+09
1.163137e+10 3.237724 0.000000e+00	0.000000e+00 2.969276e+09
1.161828e+10 3.219353 0.000000e+00	0.000000e+00 2.983035e+09
1.160518e+10 3.201221 0.000000e+00	0.000000e+00 2.996880e+09
1.159208e+10 3.183256 0.000000e+00	0.000000e+00 3.010812e+09
1.157898e+10 3.165461 0.000000e+00	0.000000e+00 3.024831e+09
1.156588e+10 3.147889 0.000000e+00	0.000000e+00 3.038938e+09
1.155278e+10 3.130466 0.000000e+00	0.000000e+00 3.053133e+09
1.153968e+10 3.113227 0.000000e+00	0.000000e+00 3.067416e+09
1.152659e+10 3.096179 0.000000e+00	0.000000e+00 3.081788e+09
1.151349e+10 3.079272 0.000000e+00	0.000000e+00 3.096249e+09
1.150039e+10 3.062561 0.000000e+00	0.000000e+00 3.110801e+09
1.148729e+10 3.046014 0.000000e+00	0.000000e+00 3.125442e+09
1.147419e+10 3.029600 0.000000e+00	0.000000e+00 3.140175e+09
1.146109e+10 3.013389 0.000000e+00	0.000000e+00 3.154999e+09
1.144800e+10 2.997320 0.000000e+00	0.000000e+00 3.169915e+09
1.143490e+10 2.981379 0.000000e+00	0.000000e+00 3.184923e+09
1.142180e+10 2.965641 0.000000e+00	0.000000e+00 3.200024e+09
1.140870e+10 2.950030 0.000000e+00	0.000000e+00 3.215219e+09
