#t0_Mstar=1.258925e+10 (N07Mbar=2.901206e+10) t0_sfr=8.426386e-01	1.00000000000000001988462483866e+30 t0_sfr=8.426386e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 3.035671e+07
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 2.417015e+07
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 2.312947e+07
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 2.253805e+07
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 2.213142e+07
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 2.182603e+07
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 2.158455e+07
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 2.138708e+07
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 2.122174e+07
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 2.108087e+07
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 2.095925e+07
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 2.085318e+07
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 2.075990e+07
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 2.067733e+07
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 2.060388e+07
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 2.053827e+07
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 2.047946e+07
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 2.042661e+07
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 2.037905e+07
1.284952e+10 6.831855 0.000000e+00	0.000000e+00 2.033619e+07
1.283643e+10 6.748572 0.000000e+00	0.000000e+00 2.029753e+07
1.282333e+10 6.667456 0.000000e+00	0.000000e+00 2.026267e+07
1.281023e+10 6.588431 0.000000e+00	0.000000e+00 2.023124e+07
1.279713e+10 6.511436 0.000000e+00	0.000000e+00 2.020294e+07
1.278403e+10 6.436355 0.000000e+00	0.000000e+00 2.017750e+07
1.277093e+10 6.363109 0.000000e+00	0.000000e+00 2.015468e+07
1.275784e+10 6.291625 0.000000e+00	0.000000e+00 2.013427e+07
1.274474e+10 6.221832 0.000000e+00	0.000000e+00 2.011609e+07
1.273164e+10 6.153665 0.000000e+00	0.000000e+00 2.009998e+07
1.271854e+10 6.087102 0.000000e+00	0.000000e+00 2.008579e+07
1.270544e+10 6.022088 0.000000e+00	0.000000e+00 2.007339e+07
1.269234e+10 5.958522 0.000000e+00	0.000000e+00 2.006266e+07
1.267925e+10 5.896348 0.000000e+00	0.000000e+00 2.005350e+07
1.266615e+10 5.835515 0.000000e+00	0.000000e+00 2.004581e+07
1.265305e+10 5.776057 0.000000e+00	0.000000e+00 2.003950e+07
1.263995e+10 5.717866 0.000000e+00	0.000000e+00 2.003450e+07
1.262685e+10 5.660874 0.000000e+00	0.000000e+00 2.003072e+07
1.261375e+10 5.605040 0.000000e+00	0.000000e+00 2.002811e+07
1.260065e+10 5.550427 0.000000e+00	0.000000e+00 2.002660e+07
1.258756e+10 5.496902 0.000000e+00	0.000000e+00 2.002614e+07
1.257446e+10 5.444416 0.000000e+00	0.000000e+00 2.002667e+07
1.256136e+10 5.392990 0.000000e+00	0.000000e+00 2.002814e+07
1.254826e+10 5.342602 0.000000e+00	0.000000e+00 2.003052e+07
1.253516e+10 5.293149 0.000000e+00	0.000000e+00 2.003376e+07
1.252206e+10 5.244640 0.000000e+00	0.000000e+00 2.003783e+07
1.250897e+10 5.197097 0.000000e+00	0.000000e+00 2.004267e+07
1.249587e+10 5.150398 0.000000e+00	0.000000e+00 2.004828e+07
1.248277e+10 5.104567 0.000000e+00	0.000000e+00 2.005460e+07
1.246967e+10 5.059611 0.000000e+00	0.000000e+00 2.006162e+07
1.245657e+10 5.015419 0.000000e+00	0.000000e+00 2.006931e+07
1.244347e+10 4.972050 0.000000e+00	0.000000e+00 2.007763e+07
1.243038e+10 4.929453 0.000000e+00	0.000000e+00 2.008658e+07
1.241728e+10 4.887546 0.000000e+00	0.000000e+00 2.009612e+07
1.240418e+10 4.846450 0.000000e+00	0.000000e+00 2.010623e+07
1.239108e+10 4.806006 0.000000e+00	0.000000e+00 2.011690e+07
1.237798e+10 4.766255 0.000000e+00	0.000000e+00 2.012810e+07
1.236488e+10 4.727194 0.000000e+00	0.000000e+00 2.013982e+07
1.235179e+10 4.688723 0.000000e+00	0.000000e+00 2.015204e+07
1.233869e+10 4.650970 0.000000e+00	0.000000e+00 2.016475e+07
1.232559e+10 4.613770 0.000000e+00	0.000000e+00 2.017792e+07
1.231249e+10 4.577204 0.000000e+00	0.000000e+00 2.019156e+07
1.229939e+10 4.541209 0.000000e+00	0.000000e+00 2.020563e+07
