#t0_Mstar=1.584893e+10 (N07Mbar=3.287381e+10) t0_sfr=9.786815e-01	1.00000000000000001988462483866e+30 t0_sfr=9.786815e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 7.708494e+07
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 6.237154e+07
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 5.993225e+07
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 5.856328e+07
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 5.763421e+07
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 5.694592e+07
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 5.640956e+07
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 5.597775e+07
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 5.562223e+07
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 5.532480e+07
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 5.507306e+07
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 5.485818e+07
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 5.467366e+07
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 5.451457e+07
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 5.437709e+07
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 5.425819e+07
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 5.415544e+07
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 5.406687e+07
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 5.399083e+07
1.284952e+10 6.831855 0.000000e+00	0.000000e+00 5.392596e+07
1.283643e+10 6.748572 0.000000e+00	0.000000e+00 5.387109e+07
1.282333e+10 6.667456 0.000000e+00	0.000000e+00 5.382524e+07
1.281023e+10 6.588431 0.000000e+00	0.000000e+00 5.378757e+07
1.279713e+10 6.511436 0.000000e+00	0.000000e+00 5.375736e+07
1.278403e+10 6.436355 0.000000e+00	0.000000e+00 5.373395e+07
1.277093e+10 6.363109 0.000000e+00	0.000000e+00 5.371680e+07
1.275784e+10 6.291625 0.000000e+00	0.000000e+00 5.370543e+07
1.274474e+10 6.221832 0.000000e+00	0.000000e+00 5.369938e+07
1.273164e+10 6.153665 0.000000e+00	0.000000e+00 5.369829e+07
1.271854e+10 6.087102 0.000000e+00	0.000000e+00 5.370181e+07
1.270544e+10 6.022088 0.000000e+00	0.000000e+00 5.370963e+07
1.269234e+10 5.958522 0.000000e+00	0.000000e+00 5.372148e+07
1.267925e+10 5.896348 0.000000e+00	0.000000e+00 5.373710e+07
1.266615e+10 5.835515 0.000000e+00	0.000000e+00 5.375626e+07
1.265305e+10 5.776057 0.000000e+00	0.000000e+00 5.377878e+07
1.263995e+10 5.717866 0.000000e+00	0.000000e+00 5.380445e+07
1.262685e+10 5.660874 0.000000e+00	0.000000e+00 5.383311e+07
1.261375e+10 5.605040 0.000000e+00	0.000000e+00 5.386460e+07
1.260065e+10 5.550427 0.000000e+00	0.000000e+00 5.389878e+07
1.258756e+10 5.496902 0.000000e+00	0.000000e+00 5.393551e+07
1.257446e+10 5.444416 0.000000e+00	0.000000e+00 5.397468e+07
1.256136e+10 5.392990 0.000000e+00	0.000000e+00 5.401618e+07
1.254826e+10 5.342602 0.000000e+00	0.000000e+00 5.405989e+07
1.253516e+10 5.293149 0.000000e+00	0.000000e+00 5.410573e+07
