#t0_Mstar=3.162278e+10 (N07Mbar=4.898739e+10) t0_sfr=1.533350e+00	1.00000000000000001988462483866e+30 t0_sfr=8.160737e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 5.209433e+08
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 4.282970e+08
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 4.134609e+08
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 4.053918e+08
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 4.000985e+08
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 3.963222e+08
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 3.935020e+08
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 3.913390e+08
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 3.896553e+08
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 3.883366e+08
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 3.873048e+08
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 3.865046e+08
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 3.858953e+08
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 3.854461e+08
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 3.851329e+08
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 3.849371e+08
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 3.848434e+08
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 3.848395e+08
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 3.849153e+08
1.284952e+10 6.831855 0.000000e+00	0.000000e+00 3.850621e+08
1.283643e+10 6.748572 0.000000e+00	0.000000e+00 3.852728e+08
1.282333e+10 6.667456 0.000000e+00	0.000000e+00 3.855414e+08
1.281023e+10 6.588431 0.000000e+00	0.000000e+00 3.858627e+08
1.279713e+10 6.511436 0.000000e+00	0.000000e+00 3.862320e+08
1.278403e+10 6.436355 0.000000e+00	0.000000e+00 3.866456e+08
1.277093e+10 6.363109 0.000000e+00	0.000000e+00 3.870999e+08
1.275784e+10 6.291625 0.000000e+00	0.000000e+00 3.875921e+08
1.274474e+10 6.221832 0.000000e+00	0.000000e+00 3.881193e+08
1.273164e+10 6.153665 0.000000e+00	0.000000e+00 3.886794e+08
1.271854e+10 6.087102 0.000000e+00	0.000000e+00 3.892701e+08
1.270544e+10 6.022088 0.000000e+00	0.000000e+00 3.898896e+08
1.269234e+10 5.958522 0.000000e+00	0.000000e+00 3.905363e+08
1.267925e+10 5.896348 0.000000e+00	0.000000e+00 3.912085e+08
1.266615e+10 5.835515 0.000000e+00	0.000000e+00 3.919050e+08
1.265305e+10 5.776057 0.000000e+00	0.000000e+00 3.926245e+08
1.263995e+10 5.717866 0.000000e+00	0.000000e+00 3.933659e+08
1.262685e+10 5.660874 0.000000e+00	0.000000e+00 3.941281e+08
1.261375e+10 5.605040 0.000000e+00	0.000000e+00 3.949102e+08
1.260065e+10 5.550427 0.000000e+00	0.000000e+00 3.957113e+08
1.258756e+10 5.496902 0.000000e+00	0.000000e+00 3.965308e+08
1.257446e+10 5.444416 0.000000e+00	0.000000e+00 3.973677e+08
1.256136e+10 5.392990 0.000000e+00	0.000000e+00 3.982216e+08
1.254826e+10 5.342602 0.000000e+00	0.000000e+00 3.990917e+08
1.253516e+10 5.293149 0.000000e+00	0.000000e+00 3.999775e+08
1.252206e+10 5.244640 0.000000e+00	0.000000e+00 4.008784e+08
1.250897e+10 5.197097 0.000000e+00	0.000000e+00 4.017941e+08
1.249587e+10 5.150398 0.000000e+00	0.000000e+00 4.027240e+08
1.248277e+10 5.104567 0.000000e+00	0.000000e+00 4.036677e+08
1.246967e+10 5.059611 0.000000e+00	0.000000e+00 4.046248e+08
1.245657e+10 5.015419 0.000000e+00	0.000000e+00 4.055950e+08
