#t0_Mstar=3.981072e+10 (N07Mbar=5.653661e+10) t0_sfr=1.780908e+00	1.00000000000000001988462483866e+30 t0_sfr=9.220171e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.210292e+10 4.062421 0.000000e+00	0.000000e+00 7.233706e+08
1.208982e+10 4.034080 0.000000e+00	0.000000e+00 7.257187e+08
1.207672e+10 4.006087 0.000000e+00	0.000000e+00 7.280826e+08
1.206362e+10 3.978520 0.000000e+00	0.000000e+00 7.304621e+08
1.205052e+10 3.951272 0.000000e+00	0.000000e+00 7.328573e+08
1.203742e+10 3.924447 0.000000e+00	0.000000e+00 7.352681e+08
1.202433e+10 3.897912 0.000000e+00	0.000000e+00 7.376944e+08
1.201123e+10 3.871800 0.000000e+00	0.000000e+00 7.401362e+08
1.199813e+10 3.845965 0.000000e+00	0.000000e+00 7.425934e+08
1.198503e+10 3.820516 0.000000e+00	0.000000e+00 7.450659e+08
1.197193e+10 3.795355 0.000000e+00	0.000000e+00 7.475539e+08
1.195883e+10 3.770540 0.000000e+00	0.000000e+00 7.500571e+08
1.194574e+10 3.746027 0.000000e+00	0.000000e+00 7.525757e+08
1.193264e+10 3.721816 0.000000e+00	0.000000e+00 7.551095e+08
1.191954e+10 3.697926 0.000000e+00	0.000000e+00 7.576586e+08
1.190644e+10 3.674294 0.000000e+00	0.000000e+00 7.602229e+08
1.189334e+10 3.651005 0.000000e+00	0.000000e+00 7.628024e+08
1.188024e+10 3.627947 0.000000e+00	0.000000e+00 7.653971e+08
1.186714e+10 3.605214 0.000000e+00	0.000000e+00 7.680070e+08
1.185405e+10 3.582725 0.000000e+00	0.000000e+00 7.706321e+08
1.184095e+10 3.560509 0.000000e+00	0.000000e+00 7.732724e+08
1.182785e+10 3.538569 0.000000e+00	0.000000e+00 7.759279e+08
1.181475e+10 3.516848 0.000000e+00	0.000000e+00 7.785986e+08
1.180165e+10 3.495436 0.000000e+00	0.000000e+00 7.812844e+08
1.178855e+10 3.474227 0.000000e+00	0.000000e+00 7.839855e+08
1.177546e+10 3.453288 0.000000e+00	0.000000e+00 7.867018e+08
