#t0_Mstar=1.000000e+10 (N07Mbar=2.568469e+10) t0_sfr=7.255066e-01	1.00000000000000001988462483866e+30 t0_sfr=8.317638e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.210292e+10 4.062421 0.000000e+00	0.000000e+00 5.118574e+06
1.208982e+10 4.034080 0.000000e+00	0.000000e+00 5.118735e+06
1.207672e+10 4.006087 0.000000e+00	0.000000e+00 5.118983e+06
1.206362e+10 3.978520 0.000000e+00	0.000000e+00 5.119315e+06
1.205052e+10 3.951272 0.000000e+00	0.000000e+00 5.119729e+06
1.203742e+10 3.924447 0.000000e+00	0.000000e+00 5.120224e+06
1.202433e+10 3.897912 0.000000e+00	0.000000e+00 5.120798e+06
1.201123e+10 3.871800 0.000000e+00	0.000000e+00 5.121448e+06
1.199813e+10 3.845965 0.000000e+00	0.000000e+00 5.122174e+06
1.198503e+10 3.820516 0.000000e+00	0.000000e+00 5.122973e+06
1.197193e+10 3.795355 0.000000e+00	0.000000e+00 5.123844e+06
1.195883e+10 3.770540 0.000000e+00	0.000000e+00 5.124785e+06
1.194574e+10 3.746027 0.000000e+00	0.000000e+00 5.125796e+06
1.193264e+10 3.721816 0.000000e+00	0.000000e+00 5.126874e+06
1.191954e+10 3.697926 0.000000e+00	0.000000e+00 5.128018e+06
1.190644e+10 3.674294 0.000000e+00	0.000000e+00 5.129227e+06
1.189334e+10 3.651005 0.000000e+00	0.000000e+00 5.130500e+06
1.188024e+10 3.627947 0.000000e+00	0.000000e+00 5.131835e+06
1.186714e+10 3.605214 0.000000e+00	0.000000e+00 5.133232e+06
1.185405e+10 3.582725 0.000000e+00	0.000000e+00 5.134688e+06
1.184095e+10 3.560509 0.000000e+00	0.000000e+00 5.136204e+06
1.182785e+10 3.538569 0.000000e+00	0.000000e+00 5.137777e+06
1.181475e+10 3.516848 0.000000e+00	0.000000e+00 5.139407e+06
1.180165e+10 3.495436 0.000000e+00	0.000000e+00 5.141093e+06
1.178855e+10 3.474227 0.000000e+00	0.000000e+00 5.142834e+06
1.177546e+10 3.453288 0.000000e+00	0.000000e+00 5.144629e+06
1.176236e+10 3.432582 0.000000e+00	0.000000e+00 5.146477e+06
