#t0_Mstar=2.511886e+10 (N07Mbar=4.269030e+10) t0_sfr=1.320205e+00	1.00000000000000001988462483866e+30 t0_sfr=9.002981e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 3.040902e+08
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 2.492473e+08
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 2.403714e+08
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 2.354963e+08
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 2.322632e+08
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 2.299280e+08
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 2.281587e+08
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 2.267787e+08
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 2.256825e+08
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 2.248023e+08
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 2.240921e+08
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 2.235191e+08
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 2.230589e+08
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 2.226935e+08
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 2.224085e+08
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 2.221928e+08
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 2.220374e+08
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 2.219350e+08
