#t0_Mstar=6.309573e+10 (N07Mbar=7.696200e+10) t0_sfr=2.402378e+00	1.00000000000000001988462483866e+30 t0_sfr=5.248075e+00
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 1.884587e+09
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 1.557039e+09
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 1.506094e+09
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 1.479153e+09
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 1.462045e+09
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 1.450306e+09
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 1.441948e+09
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 1.435915e+09
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 1.431577e+09
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 1.428530e+09
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 1.426499e+09
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 1.425290e+09
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 1.424759e+09
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 1.424797e+09
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 1.425321e+09
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 1.426265e+09
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 1.427575e+09
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 1.429208e+09
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 1.431129e+09
1.284952e+10 6.831855 0.000000e+00	0.000000e+00 1.433308e+09
