#t0_Mstar=5.011872e+10 (N07Mbar=6.569555e+10) t0_sfr=2.068433e+00	1.00000000000000001988462483866e+30 t0_sfr=4.220538e+00
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 1.280692e+09
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 1.056818e+09
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 1.021668e+09
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 1.002907e+09
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 9.908628e+08
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 9.824863e+08
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 9.764203e+08
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 9.719426e+08
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 9.686231e+08
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 9.661855e+08
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 9.644420e+08
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 9.632590e+08
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 9.625384e+08
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 9.622060e+08
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 9.622043e+08
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 9.624880e+08
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 9.630207e+08
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 9.637727e+08
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 9.647197e+08
1.284952e+10 6.831855 0.000000e+00	0.000000e+00 9.658413e+08
1.283643e+10 6.748572 0.000000e+00	0.000000e+00 9.671203e+08
1.282333e+10 6.667456 0.000000e+00	0.000000e+00 9.685422e+08
1.281023e+10 6.588431 0.000000e+00	0.000000e+00 9.700946e+08
1.279713e+10 6.511436 0.000000e+00	0.000000e+00 9.717666e+08
1.278403e+10 6.436355 0.000000e+00	0.000000e+00 9.735489e+08
1.277093e+10 6.363109 0.000000e+00	0.000000e+00 9.754335e+08
1.275784e+10 6.291625 0.000000e+00	0.000000e+00 9.774131e+08
1.274474e+10 6.221832 0.000000e+00	0.000000e+00 9.794814e+08
1.273164e+10 6.153665 0.000000e+00	0.000000e+00 9.816329e+08
1.271854e+10 6.087102 0.000000e+00	0.000000e+00 9.838627e+08
1.270544e+10 6.022088 0.000000e+00	0.000000e+00 9.861662e+08
1.269234e+10 5.958522 0.000000e+00	0.000000e+00 9.885395e+08
1.267925e+10 5.896348 0.000000e+00	0.000000e+00 9.909791e+08
1.266615e+10 5.835515 0.000000e+00	0.000000e+00 9.934817e+08
1.265305e+10 5.776057 0.000000e+00	0.000000e+00 9.960444e+08
1.263995e+10 5.717866 0.000000e+00	0.000000e+00 9.986645e+08
1.262685e+10 5.660874 0.000000e+00	0.000000e+00 1.001340e+09
1.261375e+10 5.605040 0.000000e+00	0.000000e+00 1.004068e+09
1.260065e+10 5.550427 0.000000e+00	0.000000e+00 1.006847e+09
1.258756e+10 5.496902 0.000000e+00	0.000000e+00 1.009675e+09
1.257446e+10 5.444416 0.000000e+00	0.000000e+00 1.012550e+09
1.256136e+10 5.392990 0.000000e+00	0.000000e+00 1.015472e+09
1.254826e+10 5.342602 0.000000e+00	0.000000e+00 1.018437e+09
1.253516e+10 5.293149 0.000000e+00	0.000000e+00 1.021446e+09
1.252206e+10 5.244640 0.000000e+00	0.000000e+00 1.024497e+09
1.250897e+10 5.197097 0.000000e+00	0.000000e+00 1.027589e+09
1.249587e+10 5.150398 0.000000e+00	0.000000e+00 1.030720e+09
1.248277e+10 5.104567 0.000000e+00	0.000000e+00 1.033890e+09
1.246967e+10 5.059611 0.000000e+00	0.000000e+00 1.037099e+09
1.245657e+10 5.015419 0.000000e+00	0.000000e+00 1.040344e+09
1.244347e+10 4.972050 0.000000e+00	0.000000e+00 1.043626e+09
1.243038e+10 4.929453 0.000000e+00	0.000000e+00 1.046944e+09
1.241728e+10 4.887546 0.000000e+00	0.000000e+00 1.050296e+09
1.240418e+10 4.846450 0.000000e+00	0.000000e+00 1.053684e+09
1.239108e+10 4.806006 0.000000e+00	0.000000e+00 1.057105e+09
1.237798e+10 4.766255 0.000000e+00	0.000000e+00 1.060559e+09
1.236488e+10 4.727194 0.000000e+00	0.000000e+00 1.064047e+09
1.235179e+10 4.688723 0.000000e+00	0.000000e+00 1.067566e+09
1.233869e+10 4.650970 0.000000e+00	0.000000e+00 1.071118e+09
1.232559e+10 4.613770 0.000000e+00	0.000000e+00 1.074702e+09
1.231249e+10 4.577204 0.000000e+00	0.000000e+00 1.078317e+09
1.229939e+10 4.541209 0.000000e+00	0.000000e+00 1.081962e+09
1.228629e+10 4.505773 0.000000e+00	0.000000e+00 1.085639e+09
1.227319e+10 4.470921 0.000000e+00	0.000000e+00 1.089345e+09
